종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"036580","팜스코","KOSPI","음식료·담배","2130","-30","-1.39","78230518590"
"004720","팜젠사이언스","KOSPI","제약","4090","-45","-1.09","74443333360"
"028670","팬오션","KOSPI","운송·창고","3585","65","1.85","1916431700520"
"010820","퍼스텍","KOSPI","금속","3610","-55","-1.50","176066696180"
"016800","퍼시스","KOSPI","기타제조","42600","-150","-0.35","489900000000"
"001020","페이퍼코리아","KOSPI","종이·목재","708","13","1.87","126012185604"
"090080","평화산업","KOSPI","운송장비·부품","1118","-21","-1.84","61380725562"
"010770","평화홀딩스","KOSPI","운송장비·부품","6070","-280","-4.41","88776578620"
"022100","포스코DX","KOSPI","일반서비스","27600","200","0.73","4196158520400"
"058430","포스코스틸리온","KOSPI","금속","45700","-1800","-3.79","274200000000"
"047050","포스코인터내셔널","KOSPI","유통","59000","3200","5.73","10379444492000"
"003670","포스코퓨처엠","KOSPI","전기·전자","137700","-5800","-4.04","10666685394000"
"017810","풀무원","KOSPI","음식료·담배","16450","-60","-0.36","627082915900"
"103140","풍산","KOSPI","금속","65100","-2200","-3.27","1824380497800"
"005810","풍산홀딩스","KOSPI","기타금융","28750","150","0.52","414497145000"
"950210","프레스티지바이오파마","KOSPI","일반서비스","11800","-780","-6.20","709134629000"
"009810","플레이그램","KOSPI","유통","319","6","1.92","48452112500"
"086790","하나금융지주","KOSPI","기타금융","62200","0","0.00","17866382736000"
"293480","하나제약","KOSPI","제약","10580","-20","-0.19","188037768680"
"039130","하나투어","KOSPI","일반서비스","54000","300","0.56","866115990000"
"352820","하이브","KOSPI","오락·문화","232000","3000","1.31","9663286504000"
"071090","하이스틸","KOSPI","금속","4600","395","9.39","92880766600"
"000080","하이트진로","KOSPI","음식료·담배","19740","250","1.28","1384437481140"
"000087","하이트진로2우B","KOSPI","음식료·담배","15200","10","0.07","17178097600"
"000140","하이트진로홀딩스","KOSPI","기타금융","8660","20","0.23","200970584900"
"000145","하이트진로홀딩스우","KOSPI","기타금융","10160","0","0.00","4783429600"
"152550","한국ANKOR유전","KOSPI","기타금융","280","-2","-0.71","19605600000"
"036460","한국가스공사","KOSPI","전기·가스","37550","1150","3.16","3466353150000"
"005430","한국공항","KOSPI","운송·창고","50700","100","0.20","160534198500"
"071050","한국금융지주","KOSPI","기타금융","76300","-300","-0.39","4251893189600"
"071055","한국금융지주우","KOSPI","기타금융","56400","-400","-0.70","330405356400"
"010040","한국내화","KOSPI","비금속","2175","-40","-1.81","89320859850"
"025540","한국단자","KOSPI","전기·전자","69300","-1100","-1.56","721759500000"
"010100","한국무브넥스","KOSPI","운송장비·부품","4500","-70","-1.53","137026890000"
"004090","한국석유","KOSPI","비금속","12830","30","0.23","162865559600"
"002200","한국수출포장","KOSPI","종이·목재","2735","-15","-0.55","109400000000"
"002960","한국쉘석유","KOSPI","화학","316500","6000","1.93","411450000000"
"000240","한국앤컴퍼니","KOSPI","기타금융","16110","-140","-0.86","1529406716400"
"123890","한국자산신탁","KOSPI","기타금융","2480","-5","-0.20","307464824960"
"015760","한국전력","KOSPI","전기·가스","22100","100","0.45","14187406101700"
"006200","한국전자홀딩스","KOSPI","기타금융","705","-2","-0.28","32996210880"
"027970","한국제지","KOSPI","종이·목재","802","1","0.12","152522946074"
"023350","한국종합기술","KOSPI","일반서비스","5080","-50","-0.97","55626000000"
"025890","한국주강","KOSPI","기계·장비","1734","-13","-0.74","19610255106"
